TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
91991376,-1548.0,-682.7592870712281,863,100
91999459,-1546.0,-682.6259244918822,859,100
92198562,-1544.0000000000002,-679.3910061035156,859,100
92294452,-1542.0,-677.8567653808593,853,100
92398677,-1540.0,-676.181057447884,871,100
92497018,-1538.0,-674.5996947288512,864,100
92598420,-1536.0,-672.9265617847442,865,100
92693829,-1534.0,-671.3523067951202,859,100
92798609,-1532.0,-669.5726414680482,862,100
92894147,-1530.0,-667.9484930992128,863,100
93000939,-1528.0,-666.1849961280824,866,100
93097687,-1526.0,-664.5883043289186,856,100
93198527,-1524.0,-662.874027633667,858,100
93398583,-1522.0,-659.4730792045592,866,100
93494104,-1520.0,-657.8492226600647,857,100
93599463,-1518.0,-656.006890268326,862,100
93695387,-1516.0,-654.3282136631012,866,100
93799532,-1514.0,-652.463604576908,861,100
93894975,-1512.0,-650.7541647156672,862,100
93999570,-1510.0,-648.7701566696165,854,100
94199570,-1508.0,-644.9701566696166,862,100
94295949,-1505.9999999999998,-643.1389503479003,860,100
94391973,-1504.0,-641.3614983081817,866,100
94398643,-1500.0,-641.2380923328399,855,100
94598802,-1500.0,-637.5764381907094,865,100
94695585,-1500.0,-635.8255956601856,855,100
94798441,-1500.0,-633.9233238220216,870,100
94999489,-1500.0,-630.1014627456666,872,100
95095370,-1500.0,-628.2317742347719,866,100
95191149,-1500.0,-626.3170196533204,885,100
95198471,-1500.0,-626.1705600738526,869,100
95398712,-1500.0,-622.3183220386504,881,100
95494100,-1500.0,-620.5536452293395,886,100
95588728,-1500.0,-618.8030210494994,875,100
95599424,-1500.0,-618.6051413955689,877,100
95799484,-1500.0,-615.0154375712076,887,100
95894065,-1500.0,-613.3685025210403,890,100
95999420,-1500.0,-611.6772720336913,890,100
96094675,-1500.0,-610.1531936645506,886,100
96199592,-1500.0,-608.5761176109313,889,100
96297198,-1500.0,-607.1120177268981,892,100
96399313,-1500.0,-605.8335857868195,888,100
96494160,-1500.0,-604.6479957580567,895,100
96598390,-1500.0,-603.4901557500638,896,100
96798510,-1500.0,-601.4864044189454,887,100
96893714,-1500.0,-600.6295738220216,901,100
96998360,-1500.0,-599.8397968769075,897,100
97092795,-1500.0,-599.131532764435,901,100
97198493,-1500.0,-598.6940261840821,902,100
97294289,-1500.0,-598.3108436584473,903,100
97399300,-1500.0,-598.0953994750977,901,100
97494057,-1500.0,-597.9058853149414,905,100
97599789,-1500.0,-597.9,909,100
97696091,-1500.0,-597.9,906,100
97800493,-1500.0,-598.1059569781099,900,100
97999326,-1500.0,-598.6039782524109,895,100
98093701,-1500.0,-598.8871036529541,910,100
98199480,-1500.0,-599.5088834762573,905,100
98294821,-1500.0,-600.080927848816,899,100
98399394,-1500.0,-600.9618553638458,901,100
98496078,-1500.0,-601.7836691856384,895,100
98599274,-1500.0,-602.7114706192017,897,100
98798454,-1500.0,-604.6095962831123,890,100
98891920,-1500.0,-605.5489463154395,893,100
98987471,-1500.0,-606.5047117233275,893,100
98999459,-1500.0,-606.6245904922484,889,100
99198660,-1500.0,-608.6166082382202,899,100
99294070,-1500.0,-609.5707021713258,891,100
99388642,-1500.0,-610.4706062316895,882,100
99399330,-1500.0,-610.5721378803254,892,100
99598394,-1500.0,-612.5646448612214,880,100
99695640,-1500.0,-613.5857296466828,888,100
99800137,-1500.0,-614.6829404335022,879,100
99894323,-1500.0,-615.6718966464996,886,100
99999360,-1500.0,-616.5148092848744,884,100
100199467,-1500.0,-617.9595400810242,881,100
100294696,-1500.0,-618.5785295486451,880,100
100399360,-1500.0,-619.1574822902679,884,100
100493495,-1500.0,-619.6752237319946,881,100
100598935,-1500.0,-620.3560806331635,880,100
100696636,-1500.0,-620.9911376056671,873,100
100798411,-1500.0,-621.403665989248,878,100
100894525,-1500.0,-621.79005073279,885,100
100998652,-1500.0,-622.1557828426361,873,100
101094705,-1500.0,-622.4919687747955,876,100
101199682,-1500.0,-622.7567055225373,876,100
101398437,-1500.0,-623.101437664032,886,100
101494623,-1500.0,-623.1976238250733,874,100
101588119,-1500.0,-623.0633212089539,874,100
101599330,-1500.0,-623.0465045452119,882,100
101799471,-1500.0,-622.5925840110779,870,100
101894997,-1500.0,-622.3060082168579,875,100
101999364,-1500.0,-621.7907228460359,885,100
102094812,-1500.0,-621.3158570892182,879,100
102199416,-1500.0,-620.7422108650208,876,100
102399506,-1500.0,-619.7432215213777,885,100
102495216,-1500.0,-619.3125274181367,877,100
102598459,-1500.0,-618.8479339523316,878,100
102692568,-1500.0,-618.424443189621,879,100
102798480,-1500.0,-617.9455652189016,880,100
102893636,-1500.0,-617.51521057819,884,100
102998351,-1500.0,-616.9425649166106,887,100
103093889,-1500.0,-616.4171051502228,887,100
103199004,-1500.0,-615.8389771938324,881,100
103295246,-1500.0,-615.3096464633942,882,100
103399373,-1500.0,-614.7881339073181,884,100
103598351,-1500.0,-613.8439167499542,886,100
103692473,-1500.0,-613.420368051529,884,100
103789067,-1500.0,-613.0317295074464,885,100
103799291,-1500.0,-612.9908332824708,887,100
103999360,-1500.0,-612.1393781261444,887,100
104095739,-1500.0,-611.7056713657379,888,100
104199454,-1500.0,-611.241247029091,885,100
104294868,-1500.0,-610.8140215745613,884,100
104399351,-1500.0,-610.4452685832978,890,100
104599562,-1500.0,-609.9476568222045,884,100
104695211,-1500.0,-609.8041822433472,889,100
104792530,-1500.0,-609.7054690361023,890,100
104798592,-1500.0,-609.6994078407288,886,100
104998622,-1500.0,-609.4483082411876,893,100
105096190,-1500.0,-609.3012207510483,896,100
105198450,-1500.0,-609.1478241920471,891,100
105294808,-1500.0,-609.0032874584198,885,100
105398493,-1500.0,-608.8985065460205,890,100
105494774,-1500.0,-608.8022259712219,892,100
105599390,-1500.0,-608.697609615326,895,100
105799398,-1500.0,-608.6,889,100
105896559,-1500.0,-608.6,886,100
105999540,-1500.0,-608.7025406608582,886,100
106093705,-1500.0,-608.7967055091858,882,100
106199544,-1500.0,-609.0550869462502,898,100
106295113,-1500.0,-609.2928187375045,891,100
106399394,-1500.0,-609.5027894973755,888,100
106496885,-1500.0,-609.6977710723877,886,100
106599549,-1500.0,-609.9030984878541,894,100
106695889,-1500.0,-610.095779800415,894,100
106798480,-1500.0,-610.3512014484405,898,100
106998519,-1500.0,-610.8525608120252,888,100
107093091,-1500.0,-611.0901802695575,888,100
107198712,-1500.0,-611.3034246444702,884,100
107293229,-1500.0,-611.4924581527711,892,100
107398639,-1500.0,-611.7032787322999,886,100
107495022,-1500.0,-611.8960458755492,880,100
107598411,-1500.0,-612.2042357444764,890,100
107799330,-1500.0,-612.9604863643646,890,100
107893490,-1500.0,-613.3842088699341,887,100
107989393,-1500.0,-613.7695751190186,893,100
107999265,-1500.0,-613.8090637207031,893,100
108199334,-1500.0,-614.5581713352204,894,100
108296666,-1500.0,-614.8988333377838,878,100
108392402,-1500.0,-615.1847827398956,885,100
108400750,-1500.0,-615.2097041001961,879,100
108599326,-1500.0,-615.803978252411,876,100
108695949,-1500.0,-616.0938499450684,885,100
108799429,-1500.0,-616.4042872428894,880,100
108898185,-1500.0,-616.7004646778107,883,100
109004062,-1500.0,-616.9651557922364,877,100
109102368,-1500.0,-617.1999999999999,879,100
109103368,-1500.0,-617.2107909466154,883,100
109104368,-1500.0,-617.2128009968667,879,100
109198725,-1500.0,-617.4024627072129,882,100
109399244,-1500.0,-617.6,884,100
