,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_cm,sub_cm,rf_cm,signal_quality
2497,157389063,1705603397.2995827,0.4348459243774414,0.0,0.4277833104133606,0.5,-11.166335105895996,-11.1641206741333,-11.248802185058594,8.86,8.84,-20.15972900390625,-18,-19,-2000.0,-1116.903171634674,883.0,100.0
2498,157399613,1705603397.2995827,0.4348459243774414,0.0,0.4277833104133606,0.5,-11.166335105895996,-11.1641206741333,-11.248802185058594,8.86,8.84,-20.15972900390625,-18,-19,-2000.0,-1117.098350572586,879.0,100.0
2499,157460324,1705603397.399543,0.4436648488044739,0.0,0.4367625117301941,0.5,-11.183708190917969,-11.182430267333984,-11.272555351257324,8.86,8.89,-20.163217544555664,-17,-18,-2000.0,-1117.098350572586,879.0,100.0
2500,157560284,1705603397.499503,0.4517703652381897,0.0,0.444847822189331,0.5,-11.199906349182127,-11.199715614318848,-11.272626876831056,8.86,8.84,-20.164119720458984,-15,-17,-2000.0,-1117.098350572586,879.0,100.0
2501,157598519,1705603397.499503,0.4517703652381897,0.0,0.444847822189331,0.5,-11.199906349182127,-11.199715614318848,-11.272626876831056,8.86,8.84,-20.164119720458984,-15,-17,-2000.0,-1120.4735476493831,885.0,100.0
2502,157660244,1705603397.5994627,0.4586789011955261,0.0,0.4532106816768646,0.5,-11.214936256408691,-11.215320587158203,-11.299490928649902,8.86,8.84,-20.16226577758789,-14,-15,-2000.0,-1120.4735476493831,885.0,100.0
2503,157697696,1705603397.5994627,0.4586789011955261,0.0,0.4532106816768646,0.5,-11.214936256408691,-11.215320587158203,-11.299490928649902,8.86,8.84,-20.16226577758789,-14,-15,-2000.0,-1122.0094036102291,877.0,100.0
2504,157760204,1705603397.699423,0.4628299474716186,0.0,0.4588653147220611,0.5,-11.22877311706543,-11.22941780090332,-11.316588401794434,8.86,8.83,-20.159950256347656,-13,-14,-2000.0,-1122.0094036102291,877.0,100.0
2505,157801587,1705603397.699423,0.4628299474716186,0.0,0.4588653147220611,0.5,-11.22877311706543,-11.22941780090332,-11.316588401794434,8.86,8.83,-20.159950256347656,-13,-14,-2000.0,-1123.4119332790374,876.0,100.0
2506,157860164,1705603397.7993827,0.4675553441047668,0.0,0.4636817276477813,0.5,-11.241406440734863,-11.242326736450195,-11.336569786071776,8.86,8.790000000000001,-20.155838012695312,-11,-13,-2000.0,-1123.4119332790374,876.0,100.0
