TimeUS,terrain_cm,sub_cm,rf_cm,signal_quality
81097627,-2000.0,-1102.6015621185304,891,100
81200347,-2000.0,-1102.8570832570392,892,100
81400463,-2000.0,-1103.407390022278,902,100
81496898,-2000.0,-1103.6966952323914,899,100
81600381,-2000.0,-1104.0583363056185,890,100
81698735,-2000.0,-1104.4036759376527,895,100
81799450,-2000.0,-1104.9072523307802,892,100
81895889,-2000.0,-1105.3894491386413,890,100
81998540,-2000.0,-1106.0567982870132,895,100
82198630,-2000.0,-1107.2589693069458,889,100
82294404,-2000.0,-1107.785727262497,888,100
82388046,-2000.0,-1108.3918005466462,893,100
82399416,-2000.0,-1108.465704870224,889,100
82598381,-2000.0,-1109.758982181549,890,100
82695031,-2000.0,-1110.3872048854828,887,100
82798381,-2000.0,-1110.9576003074646,893,100
82893563,-2000.0,-1111.4811009883879,884,100
82998356,-2000.0,-1112.0067806243896,886,100
83093469,-2000.0,-1112.4823470115662,892,100
83200261,-2000.0,-1112.9646773738862,880,100
83294332,-2000.0,-1113.3879943294526,880,100
83399579,-2000.0,-1113.9613791698248,892,100
83495623,-2000.0,-1114.4869960576148,883,100
83600639,-2000.0,-1114.961876821518,877,100
83799776,-2000.0,-1115.7562184333801,888,100
83895576,-2000.0,-1116.091518163681,877,100
83998338,-2000.0,-1116.3508473968504,880,100
84093533,-2000.0,-1116.588834438324,884,100
84198373,-2000.0,-1116.751316519119,883,100
84399673,-2000.0,-1116.951336812973,880,100
84496473,-2000.0,-1116.9997367382048,884,100
84592569,-2000.0,-1117.0,880,100
84599321,-2000.0,-1117.0,877,100
84798527,-2000.0,-1117.0,883,100
84893748,-2000.0,-1117.0,884,100
84987123,-2000.0,-1116.9549382209777,884,100
84999420,-2000.0,-1116.9487897872925,882,100
85200407,-1900.0,-1116.7965924491882,786,100
85296945,-1900.0,-1116.7000543823242,779,100
85400231,-1900.0,-1116.4945639842779,781,100
85494306,-1900.0,-1116.3073505989948,794,100
85599381,-1900.0,-1115.9958543777466,780,100
85799497,-1900.0,-1115.3447578907012,784,100
85894752,-1900.0,-1115.011365747452,780,100
85998381,-1900.0,-1113.8957993850709,787,100
86092546,-1900.0,-1112.8599860534669,789,100
86199643,-1900.0,-1110.6036813247144,781,100
86297172,-1900.0,-1108.4947236061096,791,100
86399931,-1900.0,-1105.3606009006498,785,100
86495735,-1900.0,-1102.438572359085,801,100
86598497,-1900.0,-1098.3908390522,788,100
86695520,-1900.0,-1094.5584301471708,806,100
86799326,-1900.0,-1089.7418404579166,806,100
86998347,-1900.0,-1079.9299278259282,823,100
87092551,-1900.0,-1075.0313472747807,821,100
87199467,-1900.0,-1069.010574680328,830,100
87294645,-1900.0,-1063.633037429809,837,100
87399351,-1900.0,-1057.4403640955838,847,100
87495516,-1900.0,-1051.7470309110429,852,100
87599334,-1900.0,-1045.519919967652,850,100
87695971,-1900.0,-1039.7217136383063,867,100
